user_type,day_type,season_label,weather_label,total_count
Casual,Holiday,Fall,Clear/Few Clouds,3784
Casual,Holiday,Fall,Light Snow/Light Rain,173
Casual,Holiday,Fall,Mist/Cloudy,1483
Casual,Holiday,Spring,Clear/Few Clouds,5575
Casual,Holiday,Spring,Mist/Cloudy,371
Casual,Holiday,Summer,Clear/Few Clouds,5138
Casual,Holiday,Summer,Light Snow/Light Rain,144
Casual,Holiday,Summer,Mist/Cloudy,3546
Casual,Holiday,Winter,Clear/Few Clouds,1632
Casual,Holiday,Winter,Light Snow/Light Rain,50
Casual,Holiday,Winter,Mist/Cloudy,463
Casual,Weekend,Fall,Clear/Few Clouds,51884
Casual,Weekend,Fall,Light Snow/Light Rain,1201
Casual,Weekend,Fall,Mist/Cloudy,12769
Casual,Weekend,Spring,Clear/Few Clouds,73603
Casual,Weekend,Spring,Light Snow/Light Rain,2932
Casual,Weekend,Spring,Mist/Cloudy,23212
Casual,Weekend,Summer,Clear/Few Clouds,77271
Casual,Weekend,Summer,Light Snow/Light Rain,6115
Casual,Weekend,Summer,Mist/Cloudy,15131
Casual,Weekend,Winter,Clear/Few Clouds,24125
Casual,Weekend,Winter,Heavy Rain/Fog,1
Casual,Weekend,Winter,Light Snow/Light Rain,438
Casual,Weekend,Winter,Mist/Cloudy,5691
Casual,Working Day,Fall,Clear/Few Clouds,37404
Casual,Working Day,Fall,Light Snow/Light Rain,2877
Casual,Working Day,Fall,Mist/Cloudy,18207
Casual,Working Day,Spring,Clear/Few Clouds,72019
Casual,Working Day,Spring,Light Snow/Light Rain,4481
Casual,Working Day,Spring,Mist/Cloudy,21329
Casual,Working Day,Summer,Clear/Few Clouds,91605
Casual,Working Day,Summer,Light Snow/Light Rain,3468
Casual,Working Day,Summer,Mist/Cloudy,23673
Casual,Working Day,Winter,Clear/Few Clouds,18705
Casual,Working Day,Winter,Heavy Rain/Fog,7
Casual,Working Day,Winter,Light Snow/Light Rain,904
Casual,Working Day,Winter,Mist/Cloudy,8606
Registered,Holiday,Fall,Clear/Few Clouds,12072
Registered,Holiday,Fall,Light Snow/Light Rain,1063
Registered,Holiday,Fall,Mist/Cloudy,5577
Registered,Holiday,Spring,Clear/Few Clouds,12075
Registered,Holiday,Spring,Mist/Cloudy,1616
Registered,Holiday,Summer,Clear/Few Clouds,8612
Registered,Holiday,Summer,Light Snow/Light Rain,285
Registered,Holiday,Summer,Mist/Cloudy,5106
Registered,Holiday,Winter,Clear/Few Clouds,7057
Registered,Holiday,Winter,Light Snow/Light Rain,363
Registered,Holiday,Winter,Mist/Cloudy,2250
Registered,Weekend,Fall,Clear/Few Clouds,125175
Registered,Weekend,Fall,Light Snow/Light Rain,6203
Registered,Weekend,Fall,Mist/Cloudy,41170
Registered,Weekend,Spring,Clear/Few Clouds,119819
Registered,Weekend,Spring,Light Snow/Light Rain,6948
Registered,Weekend,Spring,Mist/Cloudy,41825
Registered,Weekend,Summer,Clear/Few Clouds,147934
Registered,Weekend,Summer,Light Snow/Light Rain,11681
Registered,Weekend,Summer,Mist/Cloudy,31093
Registered,Weekend,Winter,Clear/Few Clouds,71463
Registered,Weekend,Winter,Heavy Rain/Fog,22
Registered,Weekend,Winter,Light Snow/Light Rain,3449
Registered,Weekend,Winter,Mist/Cloudy,20679
Registered,Working Day,Fall,Clear/Few Clouds,316172
Registered,Working Day,Fall,Light Snow/Light Rain,32153
Registered,Working Day,Fall,Mist/Cloudy,172246
Registered,Working Day,Spring,Clear/Few Clouds,381372
Registered,Working Day,Spring,Light Snow/Light Rain,32402
Registered,Working Day,Spring,Mist/Cloudy,119010
Registered,Working Day,Summer,Clear/Few Clouds,471381
Registered,Working Day,Summer,Light Snow/Light Rain,24563
Registered,Working Day,Summer,Mist/Cloudy,134383
Registered,Working Day,Winter,Clear/Few Clouds,202296
Registered,Working Day,Winter,Heavy Rain/Fog,193
Registered,Working Day,Winter,Light Snow/Light Rain,16438
Registered,Working Day,Winter,Mist/Cloudy,86516
